product_name,selling_price_inr,mrp_inr,discount_as_listed,discount_calculated,star_rating,specs,category,platform,source_url,scraped_at
"MOTOROLA Edge 70 Fusion (Pantone BLUE SURF, 256 GB)",29999,45999,34,34.78,4.4,8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 13MP | 32MP Front Camera7000 mAh BatterySnapdragon 7s Gen 4 Processor1 Year on Handset and 6 Months on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"vivo T4x 5G (Pronto Purple, 128 GB)",16999,17999,5,5.56,4.5,6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"vivo T4R 5G (Twilight Blue, 256 GB)",24999,,,,4.5,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera5700 mAh BatteryDimensity 7400 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"POCO C75 5G (Aqua Bliss, 64 GB)",10999,,,,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"realme P4 5G (Engine Blue, 128 GB)",19999,20999,4,4.76,4.4,6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"vivo T5x 5G (Cyber Green, 128 GB)",24999,30999,19,19.36,4.5,8 GB RAM | 128 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"Ai+ Pulse 1 (Pink, 64 GB)",7999,,,,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"Ai+ Pulse 2 (Purple, 128 GB)",9499,11999,20,20.84,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryT7250 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"realme C71 (Sea Blue, 64 GB)",12849,13999,8,8.21,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"Nothing Phone (3a) Lite (Black, 128 GB)",21999,22999,4,4.35,4.5,8 GB RAM | 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium ion BatteryMediaTek Dimensity 7300 Pro Processor1 Year Manufacturing Warranty,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"realme C71 (Sea Blue, 128 GB)",9699,10999,11,11.82,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
